16-April-23 13:05:02 - INFO:  set_to:0.0005015414208173752
16-April-23 13:05:02 - INFO:  set_to:0.0005376571789383888
16-April-23 13:05:02 - INFO:  set_to:0.0004982734099030495
16-April-23 13:05:03 - INFO:  set_to:0.0005483822897076607
16-April-23 13:05:03 - INFO:  set_to:0.0006597423925995827
16-April-23 13:05:03 - INFO:  set_to:0.0005573239177465439
16-April-23 13:05:03 - INFO:  set_to:0.0005790255963802338
16-April-23 13:05:03 - INFO:  set_to:0.000550280325114727
16-April-23 13:05:03 - INFO:  set_to:0.0006470335647463799
16-April-23 13:05:03 - INFO:  set_to:0.0005432767793536186
16-April-23 13:05:04 - INFO:  set_to:0.0005253441631793976
16-April-23 13:05:04 - INFO:  set_to:0.000623747706413269
16-April-23 13:05:04 - INFO:  set_to:0.0005850242450833321
16-April-23 13:05:04 - INFO:  set_to:0.0004953071475028992
16-April-23 13:05:04 - INFO:  set_to:0.0005469685420393944
16-April-23 13:05:04 - INFO:  set_to:0.0005061747506260872
16-April-23 13:05:04 - INFO:  set_to:0.0005347132682800293
16-April-23 13:05:04 - INFO:  set_to:0.0005800183862447739
16-April-23 13:05:04 - INFO:  set_to:0.000585043802857399
16-April-23 13:05:04 - INFO:  set_to:0.0005469666793942451
16-April-23 13:05:04 - INFO:  set_to:0.0005887411534786224
16-April-23 13:05:04 - INFO:  set_to:0.0004955483600497246
16-April-23 13:05:04 - INFO:  set_to:0.000542081892490387
16-April-23 13:05:04 - INFO:  set_to:0.0005387552082538605
16-April-23 13:05:04 - INFO:  set_to:0.0005876915529370308
16-April-23 13:05:05 - INFO:  set_to:0.0005458537489175797
16-April-23 13:05:05 - INFO:  set_to:0.0004694415256381035
16-April-23 13:05:05 - INFO:  set_to:0.0006265370175242424
16-April-23 13:05:05 - INFO:  set_to:0.0004906440153717995
16-April-23 13:05:05 - INFO:  set_to:0.0004911618307232857
16-April-23 13:05:05 - INFO:  set_to:0.0005827546119689941
16-April-23 13:05:05 - INFO:  set_to:0.0006467541679739952
16-April-23 13:05:05 - INFO:  set_to:0.00043236464262008667
16-April-23 13:05:05 - INFO:  set_to:0.0005176374688744545
16-April-23 13:05:05 - INFO:  set_to:0.0004993779584765434
