09-April-23 21:06:29 - INFO:  del_multiple:0.006371067836880684
09-April-23 21:06:29 - INFO:  del_multiple:0.006021881476044655
09-April-23 21:06:29 - INFO:  del_multiple:0.00595294963568449
09-April-23 21:06:29 - INFO:  del_multiple:0.00597023218870163
09-April-23 21:06:29 - INFO:  del_multiple:0.005973363295197487
09-April-23 21:06:29 - INFO:  del_multiple:0.005993472412228584
09-April-23 21:06:29 - INFO:  del_multiple:0.005938603542745113
09-April-23 21:06:29 - INFO:  del_multiple:0.005959051661193371
09-April-23 21:06:29 - INFO:  del_multiple:0.0059894900768995285
09-April-23 21:06:30 - INFO:  del_multiple:0.006051111966371536
09-April-23 21:06:30 - INFO:  del_multiple:0.005931566469371319
09-April-23 21:06:30 - INFO:  del_multiple:0.005932834930717945
09-April-23 21:06:30 - INFO:  del_multiple:0.005841359496116638
09-April-23 21:06:30 - INFO:  del_multiple:0.005958089604973793
09-April-23 21:06:30 - INFO:  del_multiple:0.005973219871520996
09-April-23 21:06:31 - INFO:  del_multiple:0.00590751226991415
09-April-23 21:06:31 - INFO:  del_multiple:0.005964959040284157
09-April-23 21:06:31 - INFO:  del_multiple:0.00600537471473217
09-April-23 21:06:31 - INFO:  del_multiple:0.006019744090735912
09-April-23 21:06:31 - INFO:  del_multiple:0.005995745770633221
09-April-23 21:06:31 - INFO:  del_multiple:0.005940704606473446
09-April-23 21:06:31 - INFO:  del_multiple:0.005927348509430885
09-April-23 21:06:31 - INFO:  del_multiple:0.006024934351444244
09-April-23 21:06:32 - INFO:  del_multiple:0.006006044335663319
09-April-23 21:06:32 - INFO:  del_multiple:0.005872567184269428
09-April-23 21:06:32 - INFO:  del_multiple:0.005908140912652016
09-April-23 21:06:32 - INFO:  del_multiple:0.005862245336174965
09-April-23 21:06:32 - INFO:  del_multiple:0.00594138540327549
09-April-23 21:06:32 - INFO:  del_multiple:0.006063478067517281
09-April-23 21:06:32 - INFO:  del_multiple:0.0060253264382481575
09-April-23 21:06:32 - INFO:  del_multiple:0.0059345196932554245
09-April-23 21:06:32 - INFO:  del_multiple:0.005943723022937775
09-April-23 21:06:32 - INFO:  del_multiple:0.006011005491018295
09-April-23 21:06:32 - INFO:  del_multiple:0.006017070263624191
09-April-23 21:06:33 - INFO:  del_multiple:0.00591725017875433
09-April-23 21:06:33 - INFO:  del_multiple:0.005930628627538681
09-April-23 21:06:33 - INFO:  del_multiple:0.005961420945823193
09-April-23 21:06:33 - INFO:  del_multiple:0.005970628000795841
09-April-23 21:06:33 - INFO:  del_multiple:0.006037810817360878
09-April-23 21:06:33 - INFO:  del_multiple:0.005951644852757454
09-April-23 21:06:34 - INFO:  del_multiple:0.00590549036860466
09-April-23 21:06:34 - INFO:  del_multiple:0.0060165030881762505
09-April-23 21:06:34 - INFO:  del_multiple:0.0059439679607748985
09-April-23 21:06:34 - INFO:  del_multiple:0.0059523750096559525
09-April-23 21:06:34 - INFO:  del_multiple:0.005960503593087196
09-April-23 21:06:34 - INFO:  del_multiple:0.006006642244756222
