16-April-23 13:22:25 - INFO:  get_range:0.003114057704806328
16-April-23 13:22:25 - INFO:  get_range:0.0027102138847112656
16-April-23 13:22:25 - INFO:  get_range:0.0032374411821365356
16-April-23 13:22:25 - INFO:  get_range:0.003230372443795204
16-April-23 13:22:25 - INFO:  get_range:0.0030615665018558502
16-April-23 13:22:25 - INFO:  get_range:0.0035297945141792297
16-April-23 13:22:26 - INFO:  get_range:0.0034476229920983315
16-April-23 13:22:26 - INFO:  get_range:0.003112136386334896
16-April-23 13:22:26 - INFO:  get_range:0.003921610303223133
16-April-23 13:22:26 - INFO:  get_range:0.003377225250005722
16-April-23 13:22:26 - INFO:  get_range:0.003657507710158825
16-April-23 13:22:26 - INFO:  get_range:0.003909497521817684
16-April-23 13:22:26 - INFO:  get_range:0.003772175870835781
16-April-23 13:22:26 - INFO:  get_range:0.0035116001963615417
16-April-23 13:22:26 - INFO:  get_range:0.003264831379055977
16-April-23 13:22:26 - INFO:  get_range:0.002956818789243698
16-April-23 13:22:26 - INFO:  get_range:0.003392011858522892
16-April-23 13:22:27 - INFO:  get_range:0.0029778452590107918
16-April-23 13:22:27 - INFO:  get_range:0.00283739622682333
16-April-23 13:22:27 - INFO:  get_range:0.003083379939198494
16-April-23 13:22:27 - INFO:  get_range:0.0037566591054201126
16-April-23 13:22:27 - INFO:  get_range:0.0036098184064030647
16-April-23 13:22:27 - INFO:  get_range:0.0035295262932777405
16-April-23 13:22:28 - INFO:  get_range:0.0038526374846696854
16-April-23 13:22:28 - INFO:  get_range:0.003582114353775978
16-April-23 13:22:28 - INFO:  get_range:0.0036454908549785614
16-April-23 13:22:28 - INFO:  get_range:0.003476249985396862
16-April-23 13:22:28 - INFO:  get_range:0.003243989311158657
16-April-23 13:22:28 - INFO:  get_range:0.003663443960249424
16-April-23 13:22:28 - INFO:  get_range:0.0037344610318541527
16-April-23 13:22:28 - INFO:  get_range:0.0038040978834033012
16-April-23 13:22:28 - INFO:  get_range:0.0035553621128201485
16-April-23 13:22:28 - INFO:  get_range:0.0036993511021137238
16-April-23 13:22:28 - INFO:  get_range:0.0033153267577290535
16-April-23 13:22:29 - INFO:  get_range:0.0038006948307156563
16-April-23 13:22:29 - INFO:  get_range:0.003423299640417099
